146F15 | Formação de professor de educação física | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
721M01 | Medicina | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
310C02 | Ciências sociais | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F18 | Formação de professor de matemática | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
442Q01 | Química | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
762S01 | Serviço social | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F15 | Formação de professor de língua/literatura vernácula (português) | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
641M01 | Medicina veterinária | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
342P02 | Publicidade e propaganda | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F14 | Formação de professor de língua/literatura estrangeira moderna | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
521E05 | Engenharia mecânica | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F17 | Formação de professor de língua/literatura vernácula e língua estrangeira moderna | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
143F02 | Formação de professor de educação infantil | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
345A01 | Administração | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
144F08 | Formação de professor de jovens e adultos | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
727A01 | Análises clínicas | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
481C01 | Ciência da computação | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
144F02 | Formação de professor das séries iniciais do ensino fundamental  | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F21 | Formação de professor de química | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
311P02 | Psicologia | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
226F01 | Filosofia | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
723E01 | Enfermagem | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
225H01 | História | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
146F02 | Formação de professor de artes (educação artística) | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F24 | Formação de professor de sociologia | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F12 | Formação de professor de letras  | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
380D01 | Direito | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
727F01 | Farmácia | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
621A04 | Agronomia | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
321J01 | Jornalismo | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
581A05 | Arquitetura e urbanismo | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
621Z01 | Zootecnia  | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
145F09 | Formação de professor de física | 1 | Universidade Federal de Mato Grosso | 1 | FEDERAL | 1 | PÚBLICA | 51 | 5103403
