1 | UNIVERSIDADE FEDERAL DE MATO GROSSO | 1 | Federal | 1 | Pública | MT | 51 | 5103403 | ATIVA
2 | UNIVERSIDADE DE BRASÍLIA | 1 | Federal | 1 | Pública | DF | 53 | 5300108 | ATIVA
3 | UNIVERSIDADE FEDERAL DE SERGIPE | 1 | Federal | 1 | Pública | SE | 28 | 2806701 | ATIVA
4 | UNIVERSIDADE FEDERAL DO AMAZONAS | 1 | Federal | 1 | Pública | AM | 13 | 1302603 | ATIVA
5 | UNIVERSIDADE FEDERAL DO PIAUÍ | 1 | Federal | 1 | Pública | PI | 22 | 2211001 | ATIVA
6 | UNIVERSIDADE FEDERAL DE OURO PRETO | 1 | Federal | 1 | Pública | MG | 31 | 3146107 | ATIVA
7 | UNIVERSIDADE FEDERAL DE SÃO CARLOS | 1 | Federal | 1 | Pública | SP | 35 | 3548906 | ATIVA
8 | FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA | 1 | Federal | 1 | Pública | MG | 31 | 3171303 | ATIVA
9 | UNIVERSIDADE ESTADUAL DE LONDRINA | 2 | Estadual | 1 | Pública | PR | 41 | 4113700 | ATIVA
10 | PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ | 4 | Privada | 2 | Privada | PR | 41 | 4106902 | ATIVA
11 | UNIVERSIDADE CATÓLICA DE PERNAMBUCO | 4 | Privada | 2 | Privada | PE | 26 | 2611606 | ATIVA
12 | FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE | 1 | Federal | 1 | Pública | RS | 43 | 4315602 | ATIVA
13 | UNIVERSIDADE DE CAXIAS DO SUL | 4 | Privada | 2 | Privada | RS | 43 | 4305108 | ATIVA
14 | UNIVERSIDADE DO VALE DO RIO DOS SINOS | 4 | Privada | 2 | Privada | RS | 43 | 4318705 | ATIVA
15 | UNIVERSIDADE CATÓLICA DE PETRÓPOLIS | 4 | Privada | 2 | Privada | RJ | 33 | 3303906 | ATIVA
16 | UNIVERSIDADE GAMA FILHO | 4 | Privada | 2 | Privada | RJ | 33 | 3304557 | ATIVA
17 | UNIVERSIDADE FEDERAL DE UBERLÂNDIA | 1 | Federal | 1 | Pública | MG | 31 | 3170206 | ATIVA
18 | UNIVERSIDADE CATÓLICA DE PELOTAS | 4 | Privada | 2 | Privada | RS | 43 | 4314407 | ATIVA
19 | PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS | 4 | Privada | 2 | Privada | SP | 35 | 3509502 | ATIVA
20 | UNIVERSIDADE DE PASSO FUNDO | 4 | Privada | 2 | Privada | RS | 43 | 4314100 | ATIVA
21 | PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL | 4 | Privada | 2 | Privada | RS | 43 | 4314902 | ATIVA
22 | UNIVERSIDADE PRESBITERIANA MACKENZIE | 4 | Privada | 2 | Privada | SP | 35 | 3550308 | ATIVA
23 | CENTRO UNIVERSITÁRIO FEEVALE | 4 | Privada | 2 | Privada | RS | 43 | 4313409 | ATIVA
24 | UNIVERSIDADE ESTADUAL DE SANTA CRUZ | 2 | Estadual | 1 | Pública | BA | 29 | 2913606 | ATIVA
26 | ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS | 1 | Federal | 1 | Pública | RJ | 33 | 3304557 | ATIVA
27 | UNIVERSIDADE VALE DO RIO VERDE | 4 | Privada | 2 | Privada | MG | 31 | 3169307 | ATIVA
29 | UNIVERSIDADE ESTADUAL DO CEARÁ | 2 | Estadual | 1 | Pública | CE | 23 | 2304400 | ATIVA
30 | UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO |  |  | 2 | Privada | MG | 31 | 3101607 | ATIVA
31 | CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG | 2 | Estadual | 1 | Pública | MG | 31 | 3106200 | ATIVA
32 | UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL | 2 | Estadual | 1 | Pública | AL | 27 | 2704302 | ATIVA
33 | FACULDADE DE TECNOLOGIA DE SOROCABA | 2 | Estadual | 1 | Pública | SP | 35 | 3552205 | ATIVA
34 | FACULDADE DE TECNOLOGIA DE SÃO PAULO | 2 | Estadual | 1 | Pública | SP | 35 | 3550308 | ATIVA
35 | FACULDADE DE TECNOLOGIA DE AMERICANA | 2 | Estadual | 1 | Pública | SP | 35 | 3501608 | ATIVA
36 | FACULDADE DE TECNOLOGIA DA BAIXADA SANTISTA | 2 | Estadual | 1 | Pública | SP | 35 | 3548500 | ATIVA
37 | FACULDADE DE TECNOLOGIA DE JAHU | 2 | Estadual | 1 | Pública | SP | 35 | 3525300 | ATIVA
38 | UNIVERSIDADE DO ESTADO DO PARÁ | 2 | Estadual | 1 | Pública | PA | 15 | 1501402 | ATIVA
39 | INSTITUTO DE TECNOLOGIA DA AMAZÔNIA | 2 | Estadual | 1 | Pública | AM | 13 | 1302603 | EXTINTA
40 | UNIVERSIDADE DO ESTADO DA BAHIA | 2 | Estadual | 1 | Pública | BA | 29 | 2927408 | ATIVA
41 | FACULDADE ESTADUAL DE EDUCAÇÃO FÍSICA DE JACAREZINHO | 2 | Estadual | 1 | Pública | PR | 41 | 4111803 | ATIVA
42 | FACULDADE ESTADUAL DE DIREITO DO NORTE PIONEIRO | 2 | Estadual | 1 | Pública | PR | 41 | 4111803 | ATIVA
43 | FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA | 2 | Estadual | 1 | Pública | SC | 42 | 4205407 | ATIVA
44 | FACULDADE DE ENGENHARIA CIVIL DE ITAJUBÁ | 4 | Privada | 2 | Privada | MG | 31 | 3132404 | EXTINTA
45 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITAJUBÁ | 4 | Privada | 2 | Privada | MG | 31 | 3132404 | EXTINTA
46 | FACULDADE ESTADUAL DE CIÊNCIAS ECONÔMICAS DE APUCARANA | 2 | Estadual | 1 | Pública | PR | 41 | 4101408 | ATIVA
47 | UNIVERSIDADE ESTADUAL DE GOIÁS | 2 | Estadual | 1 | Pública | GO | 52 | 5201108 | ATIVA
54 | UNIVERSIDADE ESTADUAL DE CAMPINAS | 2 | Estadual | 1 | Pública | SP | 35 | 3509502 | ATIVA
55 | UNIVERSIDADE DE SÃO PAULO | 2 | Estadual | 1 | Pública | SP | 35 | 3550308 | ATIVA
56 | UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO | 2 | Estadual | 1 | Pública | SP | 35 | 3550308 | ATIVA
57 | UNIVERSIDADE ESTADUAL DE MARINGÁ | 2 | Estadual | 1 | Pública | PR | 41 | 4115200 | ATIVA
58 | FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO | 3 | Municipal | 1 | Pública | SP | 35 | 3548708 | ATIVA
59 | FACULDADE DE DIREITO DE FRANCA | 3 | Municipal | 1 | Pública | SP | 35 | 3516200 | ATIVA
60 | CENTRO UNIVERSITÁRIO DE FRANCA | 3 | Municipal | 1 | Pública | SP | 35 | 3516200 | ATIVA
61 | ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE AVARÉ | 3 | Municipal | 1 | Pública | SP | 35 | 3504503 | EXTINTA
62 | FACULDADE DE CIÊNCIAS E LETRAS DE AVARÉ | 3 | Municipal | 1 | Pública | SP | 35 | 3504503 | EXTINTA
63 | FACULDADE DE CIÊNCIAS DE BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
64 | FACULDADE DE ENGENHARIA DE BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
65 | FACULDADE DE ODONTOLOGIA DE BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
66 | FACULDADE DE DIREITO E ADMINISTRAÇÃO DE BARRETOS | 4 | Privada | 2 | Privada | SP | 35 | 3505500 | EXTINTA
67 | ESCOLA DE ENGENHARIA DE PIRACICABA | 3 | Municipal | 1 | Pública | SP | 35 | 3538709 | ATIVA
68 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS | 4 | Privada | 2 | Privada | SP | 35 | 3537305 | ATIVA
71 | UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE | 2 | Estadual | 1 | Pública | RN | 24 | 2408003 | ATIVA
72 | FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL | 3 | Municipal | 1 | Pública | PE | 26 | 2610004 | ATIVA
73 | CENTRO DE ENSINO SUPERIOR DE ARCOVERDE | 3 | Municipal | 1 | Pública | PE | 26 | 2601201 | ATIVA
74 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO | 3 | Municipal | 1 | Pública | SP | 35 | 3549706 | ATIVA
75 | FACULDADE ESTADUAL DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARANAVAÍ | 2 | Estadual | 1 | Pública | PR | 41 | 4118402 | ATIVA
76 | UNIVERSIDADE REGIONAL DE BLUMENAU | 3 | Municipal | 1 | Pública | SC | 42 | 4202404 | ATIVA
77 | FACULDADE DA REGIÃO DOS LAGOS | 4 | Privada | 2 | Privada | RJ | 33 | 3300704 | ATIVA
78 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE | 3 | Municipal | 1 | Pública | ES | 32 | 3200201 | ATIVA
79 | INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA | 3 | Municipal | 1 | Pública | SP | 35 | 3511102 | ATIVA
80 | CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ | 4 | Privada | 2 | Privada | SC | 42 | 4214805 | ATIVA
81 | UNIVERSIDADE DA REGIÃO DE JOINVILLE | 4 | Privada | 2 | Privada | SC | 42 | 4209102 | ATIVA
82 | UNIVERSIDADE DO OESTE DE SANTA CATARINA | 4 | Privada | 2 | Privada | SC | 42 | 4209003 | ATIVA
83 | UNIVERSIDADE DO VALE DO ITAJAÍ | 4 | Privada | 2 | Privada | SC | 42 | 4208203 | ATIVA
84 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE MACAÉ | 4 | Privada | 2 | Privada | RJ | 33 | 3302403 | ATIVA
85 | FACULDADE DE FILOSOFIA DE ITAPERUNA | 4 | Privada | 2 | Privada | RJ | 33 | 3302205 | EXTINTA
86 | FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS PADRE HUMBERTO | 4 | Privada | 2 | Privada | RJ | 33 | 3302205 | EXTINTA
87 | CENTRO UNIVERSITÁRIO DE BRUSQUE | 4 | Privada | 2 | Privada | SC | 42 | 4202909 | ATIVA
88 | FACULDADE DE FORMAÇÃO DE PROFESSORES DE PENEDO | 4 | Privada | 2 | Privada | AL | 27 | 2706703 | ATIVA
89 | FUNDAÇÃO FACULDADES LUIZ MENEGHEL | 2 | Estadual | 1 | Pública | PR | 41 | 4102406 | ATIVA
90 | ESCOLA SUPERIOR DE EDUCAÇÃO CIÊNCIAS E LETRAS DE RIO VERDE | 4 | Privada | 2 | Privada | GO | 52 | 5218805 | EXTINTA
91 | ESCOLA SUPERIOR DE CIÊNCIAS AGRÁRIAS DE RIO VERDE | 4 | Privada | 2 | Privada | GO | 52 | 5218805 | EXTINTA
92 | ESCOLA SUPERIOR CIÊNCIAS HUMANAS E EXATAS DE RIO VERDE | 4 | Privada | 2 | Privada | GO | 52 | 5218805 | EXTINTA
93 | FACULDADE DE MEDICINA DE JUNDIAÍ | 3 | Municipal | 1 | Pública | SP | 35 | 3525904 | ATIVA
94 | ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ | 3 | Municipal | 1 | Pública | SP | 35 | 3525904 | ATIVA
95 | UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ | 2 | Estadual | 1 | Pública | CE | 23 | 2312908 | ATIVA
96 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS PROFESSOR JOSÉ AUGUSTO VIEIRA | 4 | Privada | 2 | Privada | MG | 31 | 3139003 | EXTINTA
97 | ESCOLA SUPERIOR DE AGRICULTURA E CIÊNCIAS DE MACHADO | 4 | Privada | 2 | Privada | MG | 31 | 3139003 | EXTINTA
98 | FACULDADE DE ADMINISTRAÇÃO E FINANÇAS DE MACHADO | 4 | Privada | 2 | Privada | MG | 31 | 3139003 | EXTINTA
99 | FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE | 3 | Municipal | 1 | Pública | MG | 31 | 3118304 | ATIVA
100 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ARAXÁ | 4 | Privada | 2 | Privada | MG | 31 | 3104007 | EXTINTA
101 | FACULDADE DE CIÊNCIAS GERENCIAIS DO ALTO PARANAÍBA | 3 | Municipal | 1 | Pública | MG | 31 | 3104007 | EXTINTA
102 | FACULDADE DE DIREITO DO ALTO PARANAÍBA | 3 | Municipal | 1 | Pública | MG | 31 | 3104007 | EXTINTA
103 | FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE ARAGUARI | 4 | Privada | 2 | Privada | MG | 31 | 3103504 | EXTINTA
104 | FACULDADE DE CIÊNCIAS ECONÔMICAS DE PATOS | 4 | Privada | 2 | Privada | PB | 25 | 2510808 | EXTINTA
105 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PATOS | 4 | Privada | 2 | Privada | PB | 25 | 2510808 | EXTINTA
106 | FACULDADE DE EDUCAÇÃO DE PATOS | 4 | Privada | 2 | Privada | PB | 25 | 2510808 | EXTINTA
107 | UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI | 1 | Federal | 1 | Pública | MG | 31 | 3162500 | ATIVA
108 | ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA E TÉCNICAS DESPORTIVAS DE ANDRADINA | 4 | Privada | 2 | Privada | SP | 35 | 3502101 | EXTINTA
109 | FACULDADES INTEGRADAS RUI BARBOSA | 4 | Privada | 2 | Privada | SP | 35 | 3502101 | ATIVA
110 | FACULDADE DE DIREITO DE SETE LAGOAS | 4 | Privada | 2 | Privada | MG | 31 | 3167202 | EXTINTA
111 | FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SETE LAGOAS | 4 | Privada | 2 | Privada | MG | 31 | 3167202 | EXTINTA
