Adapaleno                 |Biosintetica  | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |EMS           | Differin   | 1 mg/g                  | Creme dermatologico                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |EMS           | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |Medley        | Differin   | 1 mg/g                  | Creme dermatologico                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |Germed        | Differin   | 1 mg/g                  | Creme dermatologico                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |Germed        | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |Sigma Pharma  | Differin   | 1 mg/g                  | Creme dermatologico                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Adapaleno                 |Sigma Pharma  | Differin   | 1 mg/g                  | Gel                                           | C2 - Venda Sob Prescricao Medicas    | Lista C2 -  substancias Retinoicas                                               | NAO CONSTA
Alprazolam                |Arrow         | Frontal    | 0,25 mg; 0,50 mg; 1 mg  | Comprimido                                    | B1 - Notificacao de Receita -B       | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Biosintetica  | Frontal    | 0,25 mg; 0,50 mg        | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |EMS           | Frontal    | 0,25 mg; 0,50 mg; 1 mg; | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Eurofarma     | Frontal    | 0,25 mg; 0,50 mg; 1 mg  | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Medley        | Frontal    | 0,25 mg; 0,50 mg; 1 mg  | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Germed        | Frontal    | 0,25 mg; 0,50 mg; 1 mg; | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Sandoz        | Frontal    | 0,50 mg; 1 mg; 2 mg     | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Alprazolam                |Sigma Pharma  | Frontal    | 0,25 mg; 0,50 mg; 1 mg; | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Abbott        | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
Bromazepam                |Arrow         | Lexotan    | 3 mg; 6 mg              | Comprimido                                    | B1 - Notificacao de Receita - B      | Lista B1 -  substancias psicotropicas                                            | NAO CONSTA
