 sd04_i_codigo | sd04_i_unidade | sd04_i_medico | sd04_c_situacao 
---------------+----------------+---------------+-----------------
          1068 |         135009 |         59581 | A
          1070 |           1350 |          2105 | A
          1075 |         135007 |         87485 | A
          1005 |            341 |         95459 | A
          1004 |         135008 |         95400 | A
          1011 |            498 |          1163 | A
           370 |         135011 |         77075 | A
           371 |         123234 |         68776 | A
           372 |         135020 |         33990 | A
           373 |         135020 |         75284 | A
           374 |         135020 |         95367 | A
           375 |         135020 |         95398 | A
           376 |         135020 |         72021 | A
           467 |           1350 |         95433 | A
           378 |         135011 |         95399 | A
           379 |         135018 |         95401 | A
           380 |         135010 |         56969 | A
           381 |         135010 |         95353 | A
           382 |         135010 |          1168 | A
           383 |         135010 |         95376 | A
           384 |         135010 |         58926 | A
           385 |         135437 |         57726 | A
           386 |         135437 |         95395 | A
           387 |         135437 |         95393 | A
           388 |         135010 |         95400 | A
           389 |           1350 |         78976 | A
           390 |         135437 |         95366 | A
           391 |         135437 |         95367 | A
           392 |           1350 |         95402 | A
           393 |         135002 |         58347 | A
           394 |         135018 |         95404 | A
           395 |         135011 |         95367 | A
           396 |         135021 |         95402 | A
           397 |         135021 |         95403 | A
           398 |           1392 |          2016 | A
           399 |           1392 |         67031 | A
           400 |           1392 |         40748 | A
           401 |           1392 |         75425 | A
           402 |           1392 |         95405 | A
           403 |           1392 |         95402 | A
           404 |           1392 |         95367 | A
           405 |           1392 |          1259 | A
           407 |         135437 |         95408 | A
           408 |         123234 |         95409 | A
          1133 |            341 |         73469 | A
          1134 |         135005 |         90762 | A
          1136 |         135006 |         95611 | A
          1138 |         135027 |         98159 | A
           413 |         123234 |         95411 | A
           414 |         135008 |         77129 | A
          1139 |         135034 |         59717 | A
           416 |         123234 |         95412 | A
           417 |         135004 |         95344 | A
           418 |         135011 |         95414 | A
           419 |         135004 |         78043 | A
           420 |         135437 |         78043 | A
           421 |         135007 |         78043 | A
          1081 |           1350 |          4875 | A
           423 |         135014 |         95364 | A
           424 |         135009 |           488 | A
           425 |           1392 |          1250 | A
           426 |         135011 |         95417 | A
           427 |         135002 |         95416 | A
           428 |           1392 |         95346 | A
          1142 |           1350 |         97125 | A
           430 |         135021 |         95375 | A
           431 |         135437 |         25028 | A
           432 |         135011 |         95361 | A
           433 |           1392 |         95418 | A
           429 |         135003 |          2109 | D
           435 |         135011 |         95420 | A
           436 |           1350 |           485 | A
           437 |         135010 |         75284 | A
           439 |         135010 |         95421 | A
           440 |         135010 |         95419 | A
           441 |         135437 |         95416 | A
           442 |         135015 |          1168 | A
           443 |         135010 |           478 | A
           444 |         135010 |         74069 | A
           445 |         135010 |         95364 | A
           446 |         135022 |         56969 | A
           447 |         135022 |         58926 | A
           448 |         135022 |         95424 | A
           449 |         135010 |         95432 | A
           452 |           1392 |         95426 | A
           453 |         135011 |         79044 | A
           454 |         135014 |         58347 | A
           458 |         135437 |          2092 | A
           459 |           1392 |         95427 | A
           460 |           1392 |         81126 | A
           461 |           1350 |          1259 | A
             3 |         135005 |         95360 | A
           463 |         135018 |         56771 | A
             8 |         135007 |          4875 | A
           465 |           1350 |          1979 | A
           466 |           1392 |         95352 | A
           468 |         135017 |         59717 | A
           469 |         135437 |         61811 | A
           470 |         135008 |         95347 | A
           471 |           1392 |         91914 | A
           472 |           1392 |         81350 | A
           406 |           1392 |         31976 | A
           474 |         123234 |         95384 | A
           475 |           1350 |          4545 | A
           476 |         135018 |         95436 | A
           477 |         135011 |         81845 | A
           478 |         135011 |         72021 | A
           479 |         135010 |         61811 | A
           480 |           1350 |           479 | A
           481 |         123234 |         61850 | A
           482 |         123234 |         95443 | A
           485 |         135008 |         61850 | A
           486 |         135008 |         95446 | A
           487 |         123234 |         95447 | A
           488 |         123234 |         89824 | A
           489 |         123234 |         89727 | A
           490 |         123234 |         77742 | A
           491 |         135437 |         95448 | A
           493 |         135011 |         95424 | A
           494 |           1350 |         59717 | A
           495 |         135009 |           478 | A
           496 |         135022 |         95375 | A
           497 |         135010 |         78043 | A
           610 |         135006 |         91914 | D
           499 |         135010 |         81126 | A
           500 |         135010 |         95438 | A
           501 |         135010 |          1259 | A
           502 |         135011 |         95359 | A
           503 |           1350 |         74394 | A
           505 |         135020 |         95359 | A
           507 |           1392 |          1168 | A
           504 |         135437 |         95359 | D
           509 |         135005 |         59888 | A
           510 |         135009 |         39391 | A
           511 |         135010 |         86321 | A
           512 |           1392 |         95403 | A
           513 |         135007 |          1164 | A
