 sd02_i_codigo | sd02_i_distrito | sd02_i_regiao | sd02_i_cidade | sd02_c_siasus | sd02_i_numcgm 
---------------+-----------------+---------------+---------------+---------------+---------------
          1350 |               0 |             0 |           406 | 1350          |              
        135005 |               0 |            10 |           406 | 1350          |              
        135006 |               0 |            10 |           406 | 1350          |              
        135007 |               0 |            10 |           406 | 1350          |              
        135004 |               0 |            10 |           406 | 1350          |              
        135009 |               0 |            10 |           406 | 1350          |              
        135010 |               0 |             0 |           406 | 1350          |              
        135011 |               0 |            10 |           406 | 1350          |              
           498 |               0 |             0 |             0 | 430040        |              
        135013 |               0 |            10 |           406 | 1350          |              
        135014 |               0 |            10 |           406 | 1350          |              
        135015 |               0 |            10 |           406 | 1350          |              
        135016 |               0 |            10 |           406 | 1350          |              
        135017 |               0 |             0 |             0 |               |              
        135018 |              10 |            10 |            40 | 1350          |              
        135019 |               0 |            10 |            40 | 1350          |              
          1392 |               0 |            10 |            40 | 1392          |              
        123234 |               0 |             0 |            40 | 123234        |              
        135027 |               0 |             0 |             0 | 1350          |              
        135041 |               0 |             0 |         43004 |               |              
        135021 |              10 |             0 |             0 | 1350          |              
        135022 |               0 |            10 |         43000 | 1350          |              
        135040 |               0 |             0 |             0 | 000094        |              
        135023 |               0 |             0 |           406 |               |              
        135024 |               0 |             0 |             0 |               |              
        135025 |               0 |             0 |           406 | 1350          |              
        135026 |               0 |             0 |             0 |               |              
        135028 |               0 |             0 |             0 |               |              
        135029 |               0 |             0 |             0 |               |              
        135030 |               0 |             0 |         43004 | 300406        |              
        135031 |               0 |             0 |             0 |               |              
        135032 |               0 |             0 |             0 |               |              
        135033 |               0 |             0 |             0 |               |              
        135034 |               0 |             0 |             0 |               |              
        135035 |               0 |             0 |             0 |               |              
        135036 |               0 |             0 |             0 |               |              
        135037 |               0 |             0 |             0 |               |              
        135038 |               0 |             0 |             0 |               |              
        135039 |               0 |             0 |         43004 | 00406         |              
        135437 |               0 |             0 |             0 |               |              
        135042 |               0 |             0 |             0 |               |              
        135043 |               0 |             0 |             0 |               |              
        135002 |               0 |             0 |             0 |               |              
        135020 |               0 |             0 |             0 | 1350          |              
        135012 |               0 |            10 |           406 | 1350          |              
           341 |               0 |             0 |             0 | 430040        |              
        135008 |               0 |            19 |           406 | 1350          |              
        135003 |               0 |            10 |           406 | 1350          |              
(48 registros)

